CHROM	POSI	mean_p99	mean_p95	mean_SNPindex1	mean_SNPindex2	mean_SNPindex
L734#2#chr07	29400000	0.512	0.3975	0.1844	0.7007	0.5163
L734#2#chr07	29500000	0.5116	0.3972	0.1822	0.7007	0.5185
L734#2#chr07	30500000	0.5106	0.3962	0.1797	0.7018	0.5221
L734#2#chr07	30600000	0.5094	0.3952	0.176	0.7085	0.5325
L734#2#chr07	30700000	0.5084	0.394	0.1771	0.7126	0.5355
L734#2#chr07	30800000	0.5084	0.3943	0.1827	0.7153	0.5326
L734#2#chr07	30900000	0.5081	0.3942	0.185	0.7127	0.5277
L734#2#chr07	31000000	0.5074	0.3936	0.1908	0.7093	0.5186
L734#2#chr12	19100000	0.525	0.4083	0.375	0.9333	0.5583
L734#2#chr12	19200000	0.525	0.4083	0.375	0.9333	0.5583
L734#2#chr12	19300000	0.525	0.4083	0.375	0.9333	0.5583
L734#2#chr12	19400000	0.525	0.4083	0.375	0.9333	0.5583
